California State University Fullerton	Department of Engineering & Computer Science Department of Mechanical Engineering Department of Electrical Engineering	800 N State College Blvd, Fullerton, CA 92831	Public	Cal State Fullerton is accredited by the Western Association of Schools and Colleges Senior College and University Commission (WSCUC)			https://cluster-data-sources.s3-us-west-1.amazonaws.com/Cal+State+Fullerton+Stacked+Logo.jpg	 Cal State Fullerton is a public institution within the California State University system. CSU Fullerton offers four-year degrees, graduate programs, and certificate programs. 	39030	rgb(0, 54, 99)	#003663,#F5821F	Mechanical Engineering,Environmental Engineering		
University of California, Irvine	Henry Samueli School of Engineering at UC Irvine	University of California Irvine, Irvine, CA 92697-1075	Public	UC Irvine is accredited by the Senior Commission of the Western Association of Schools and Colleges(WSCUC)			https://cluster-data-sources.s3-us-west-1.amazonaws.com/UCI+Primary+Logo+Resized.jpg	The University of California, Irvine is a public research institution within the University of California system. UC Irvine offers four-year degrees, graduate programs, and certificate programs. 	36742	rgb(0, 100, 164)	#0064A4,#FFD200	Mechanical and Aerospace Engineering,Mechanical and Aerospace Engineering	UCI Samueli School of Engineering is named after Dr. Henry Samueli, Ph.D., a University of California alumnus, former UCI adjunct professor, and co-founder of Broadcom Corporation. UCI Samueli School of Engineering oversees undergraduate and graduate programs in biomedical engineering; chemical and biomolecular engineering; civil and environmental engineering; electrical engineering and computer science; materials science and engineering; and mechanical and aerospace engineering. 	
University of California, Riverside	The Marlan and Rosemary Bourns College of Engineering at UC Riverside (BCOE)	900 University Ave, Riverside, CA 92521	Public	The University of California, Riverside is accredited by the Western Association of Schools and Colleges (WASC).			https://cluster-data-sources.s3-us-west-1.amazonaws.com/UCR+Updated+Logo+Resized.jpg	The University of California, Riverside is a public research institution within the University of California system. UC Riverside offers four-year degrees, graduate programs, and certificate programs. 	23922	rgb(45, 108, 192)	#2D6CC0,#F1AB00,#393B41	Materials Science and Engineering,Materials Science and Engineering,Mechanical Engineering,Mechanical Engineering	Named after the founders of Bourns, Inc., Bourns Engineering oversees undergraduate and graduate programs bioengineering; chemical and environmental engineering; computer science and engineering; computer engineering, electrical engineering; mechanical engineering and materials science and engineering. Bournes Engineering is well-known for its research centers, most notably the Center for Environmental Research and Technology, the Center for Nanoscale Science and Engineering, and the Center for Research and Intelligent Systems. 	
San Bernardino Valley College	Division of Applied Technology, Transportation, and Culinary Arts	701 S Mt Vernon Ave, San Bernardino, CA 92410	Public	San Bernardino Valley College is fully accredited by the Accrediting Commission for Community and Junior Colleges (ACCJC)			https://cluster-data-sources.s3-us-west-1.amazonaws.com/San+Bernardino+Valley+College+Logo+Resized.png	San Bernardino Valley College is a public community college within the San Bernardino College District. SBVC offers associate degree programs, career technical programs, general education courses, and workforce preparation courses. 	19290	rgb(0, 83, 161)	#0053A1,#FFFFFF	Avionics Technology,Powerplant Maintence Technician,CNC: CAD/CAM,Industrial Automation,Green Technician 	The Applied Technology, Transportation, and Culinary Arts division at SBVC oversees programs in aeronautics, electronics, machinist technology, welding technology, and more. 	46
Glendale Community College	Technology and Aviation at Glendale Community College	1500 N Verdugo Rd, Glendale, CA 91208	Public	Glendale Community College is accredited by the Accrediting Commission for Community and Junior Colleges, Western Association of Schools and Colleges			https://cluster-data-sources.s3-us-west-1.amazonaws.com/Glendale+Community+College+Logo+Resized.png	Glendale Community College is a public community college within the California Community College System. GCC offers associate degree programs, career technical programs, general education courses, and workforce preparation courses. 	26597	rgb(199, 11, 70)	#C70B46,#A94C0F,#F1B310	Engineering Technology - CAD & Design Drafting,"Engineering: Mechanical, Aerospace, and Manufacturing"	The Technology and aviation division at GCC oversees programs in aviation and transportation; computer integrated manufacturing; computer-aided manufacturing and machine technology; engineering; welding and metallurgy; and more.	46
Loyola Marymount University	Frank R. Seaver College of Science and Engineering	1 Loyola Marymount University Dr, Los Angeles, CA 90045	Private Non-Profit	Loyola Marymount University is regionally accredited by the Western Association of Schools and Colleges (WASC).			https://cluster-data-sources.s3-us-west-1.amazonaws.com/Loyola+Marymount+University+Logo+Resized.png	Loyola Marymount University is a private Jesuit and Marymount research institution offering four-year undergraduate degree programs, graduate degree programs, certificate courses. 	9695	rgb(171, 12, 47)	#AB0C2F,#107FB8	Systems Engineering,Systems Engineering,Engineering Project Management,Aeronautics and Space Systems	Named after philanthropist Frank Seaver, Loyola Marymount University’s College of Science and Engineering emphasizes experiential and interdisciplinary learning that prepares students for success after graduation. Graduate education at Seaver College of Science and Engineering is rigorous and innovative to ensure that students learn in the context of the greatest challenges facing society today. 	1111
Citrus College		1000 W Foothill Blvd, Glendora, CA 91741	Public	​​​​​​​​​​​​​​​Citrus College is accredited by the Accrediting Commission for Community and Junior Colleges (ACCJC), Western Association of Schools and Colleges (WASC). 			https://cluster-data-sources.s3-us-west-1.amazonaws.com/Citrus+College+Logo+Resized.png	Citrus College is a public community college offering associate degree programs, career technical programs, general education courses, and workforce preparation courses. 	13263	rgb(255, 152, 37)	#FF9825,#006DAB	Automotive Research and Development,Biomanufacturing		46
College of the Canyons		26455 Rockwell Canyon Rd, Santa Clarita, CA 91355	Public	College of the Canyons is accredited by the Accrediting Commission for Community and Junior Colleges (ACCJC)			https://cluster-data-sources.s3-us-west-1.amazonaws.com/college+of+the+canyons+logo+resized.png	College of the Canyons is a public community college within the California Community College System. COC offers associate degree programs, career technical programs, general education courses, and workforce preparation courses. 	17148	rgb(0, 59, 112)	#003B70,#FFCE00	Machining CNC Specialization,CATIA Specialization,CAD/CAM Specialization,Automated Machining Specialization,FANUC Certified Education Robot Training (CERT) for Robotic Gas Metal Arc Welding		46
California State Polytechnic University, Pomona	College of Engineering	 3801 W Temple Ave, Pomona, CA 91768	Public	California State Polytechnic University, Pomona is accredited by the Western Association of Schools and Colleges (WASC). 			https://cluster-data-sources.s3-us-west-1.amazonaws.com/Cal+Poly+Pomona+Logo+160px+Resized.jpg	The California State Polytechnic University, Pomona is a public institution within the California State University system. Cal Poly Pomona offers four-year degrees, graduate programs, and certificate programs. 	25894	rgb(3, 132, 68)	#038444,#FDB813,#0B4269	Electrical Engineering,Engineering Management,Mechanical Engineering,Engineering with Emphasis in Aerospace Engineering,Systems Engineering,Engineering with Emphasis in Materials Engineering		
California State University, Northridge	Cal State Northridge School of Engineering and Computer Science	18111 Nordhoff St, Northridge, CA 91330	Public	CSU Northridge is accredited by the WASC Senior College and University Commission (WSCUC)			https://cluster-data-sources.s3-us-west-1.amazonaws.com/CSUN+Official+Logo+Resized.jpg	Cal State Northridge is a public institution within the California State University system. CSU Northridge offers four-year degrees, graduate programs, and certificate programs. 	39816	rgb(210, 32, 48)	#D22030,#E64B36,#FFFFFF	Manufacturing Systems Engineering,Mechanical Engineering		
